id,NAME,Address,District,Test Type,geometry,FullAddress
124,Dhanalakshmi Hospital Pvt Ltd,Dhanalakshmi Hospital Pvt Ltd  Kannothumchal Road  Kannur,Kannur,ANTIGEN,POINT(75.358829 11.862946),Dhanalakshmi Hospital Pvt Ltd  Kannothumchal Road  Kannur  Kannur
125,Amala Multi Specialty Hospital,Amala Multi Specialty Hospital  Keezhur  Iritty  Kannur,Kannur,ANTIGEN,POINT(75.671376 11.97973),Amala Multi Specialty Hospital  Keezhur  Iritty  Kannur  Kannur
126,Specialty Hospital,Specialty Hospital  Thana  Kannur,Kannur,ANTIGEN,POINT(75.372761 11.877613),Specialty Hospital  Thana  Kannur  Kannur
127,Christuraj Hospital,Christuraj Hospital  Thokkilangadi  Nirmalgiri  Koothuparamba  Kannur,Kannur,ANTIGEN,POINT(75.372761 11.877613),Christuraj Hospital  Thokkilangadi  Nirmalgiri  Koothuparamba  Kannur  Kannur
128,Neethi Lab ,Neethi Lab   Thalassery  Kannur,Kannur,ANTIGEN,POINT(75.572625 11.930267),Neethi Lab   Thalassery  Kannur  Kannur
129,Josgiri Hospital,Josgiri Hospital  Thalassery  Kannur,Kannur,ANTIGEN,POINT(75.4787704 11.7593082),Josgiri Hospital  Thalassery  Kannur  Kannur
130,St Sebastian's Hospital. Kakkayamchal,St Sebastian's Hospital. Kakkayamchal  Cherupuzha  Kannur,Kannur,ANTIGEN,POINT( 75.3562528 12.2692417 ),St Sebastian's Hospital. Kakkayamchal  Cherupuzha  Kannur
131,Saba Hospital,Saba Hospital  Near Gandhi Park  Payyannur,Kannur,ANTIGEN,POINT(75.503176 11.822946),Saba Hospital  Near Gandhi Park  Payyannur  Kannur
132,Tellicherry Co-Operative Hospital,Tellicherry Co-Operative Hospital  Kannur,Kannur,ANTIGEN,POINT(75.479678 11.764102),Tellicherry Co-Operative Hospital  Kannur  Kannur
133,Thalassery Mission Hospital Pvt Ltd,Thalassery Mission Hospital Pvt Ltd  Goods Shed Road  Thalassery  Kannur,Kannur,ANTIGEN,POINT(75.21467 12.1006),Thalassery Mission Hospital Pvt Ltd  Goods Shed Road  Thalassery  Kannur  Kannur
134,Sreechand Speciality Hospitals Pvt.Ltd,Sreechand Speciality Hospitals Pvt.Ltd  Near SN Park Kannur,Kannur,ANTIGEN,POINT(75.358829 11.862946),Sreechand Speciality Hospitals Pvt.Ltd  Near SN Park Kannur  Kannur
135,THE LAB,THE LAB  Green Valley  Kambil  Kannur  Kerala,Kannur,ANTIGEN,POINT(76.891754 9.676092),THE LAB  Green Valley  Kambil  Kannur  Kerala  Kannur
136,City Institute of Medical Sciences Kerala Pvt. Ltd- Sunrise Hospital,City Institute of Medical Sciences Kerala Pvt. Ltd- Sunrise Hospital Kanhangad Kasaragod,Kannur,ANTIGEN,POINT( 75.0952778 12.3324250 ),City Institute of Medical Sciences Kerala Pvt. Ltd- Sunrise Hospital Kanhangad Kasaragod
137,KDC LAB,KDC LAB  Opp. Little Flower School  Puthiyakotta Kanhnangad  Kasargode,Kasaragod,ANTIGEN,POINT(75.094012 12.348104),KDC LAB  Opp. Little Flower School  Puthiyakotta Kanhnangad  Kasargode  Kasaragod
138,DDRC SRL,DDRC SRL Opposite to Malabar Gold & Padma Clinic  Kanhangad  Kasaragod,Kasaragod,ANTIGEN,POINT(76.578955 9.978285),DDRC SRL Opposite to Malabar Gold & Padma Clinic  Kanhangad  Kasaragod  Kasaragod
139,INDIAN DIAGNOSTIC LABORATORY(IDL,INDIAN DIAGNOSTIC LABORATORY(IDL  KOTTACHERRY KANHANGAD,Kasaragod,ANTIGEN,POINT( 75.0869667 12.3236278 ),INDIAN DIAGNOSTIC LABORATORY(IDL  KOTTACHERRY KANHANGAD
140,Kasargod Institute of Medical Science,Kasargod Institute of Medical Science Ashwini Nagar  Kasargod,Kasaragod,ANTIGEN,POINT(74.988872 12.676126),Kasargod Institute of Medical Science Ashwini Nagar  Kasargod  Kasaragod
141,Carewell Hospital & Research Centre,Carewell Hospital & Research Centre  Nullipady  Kasaragod,Kasaragod,ANTIGEN,POINT(77.3211242 28.4339848),Carewell Hospital & Research Centre  Nullipady  Kasaragod  Kasaragod
142,DDC LAB,DDC LAB TIGER HILLS  PULIKKUNNU ROAD  KASARAGOD,Kasaragod,ANTIGEN,POINT(74.94035 12.615349),DDC LAB TIGER HILLS  PULIKKUNNU ROAD  KASARAGOD  Kasaragod
143,Janardan Hospital,Janardan Hospital  Bank Road  Kasaragod,Kasaragod,ANTIGEN,POINT(74.94035 12.615349),Janardan Hospital  Bank Road  Kasaragod  Kasaragod
144,Malik Deeanar Charitable Hospital,Malik Deeanar Charitable Hospital  Thalangara  Kasaragod,Kasaragod,ANTIGEN,POINT( 74.9914778 12.4849278 ),Malik Deeanar Charitable Hospital  Thalangara  Kasaragod
145,Neethi Lab,Neethi Lab  Kasargode  Bank Road Kasargode,Kasaragod,ANTIGEN,POINT(74.94035 12.615349),Neethi Lab  Kasargode  Bank Road Kasargode  Kasaragod
146,Neethi Lab,Neethi Lab  Near Regal Tourist Home  Railway Station Road  Kanhangad,Kasaragod,ANTIGEN,POINT(75.100393 12.30646),Neethi Lab  Near Regal Tourist Home  Railway Station Road  Kanhangad  Kasaragod
147,Devi Clinical Laboratory,Devi Clinical Laboratory  Kollam,Kasaragod,ANTIGEN,POINT( 76.5887139 8.8869000 ),Devi Clinical Laboratory  Kollam
148,EK Nayanar Memorial,EK Nayanar Memorial  Co Operative Hospital  Chengala  Kasargod,Kasaragod,ANTIGEN,POINT(75.035313 12.510117),EK Nayanar Memorial  Co Operative Hospital  Chengala  Kasargod  Kasaragod
149,UNITED MEDICAL CENTER,UNITED MEDICAL CENTER  KOTEKANI ROAD  KASARAGOD,Kasaragod,ANTIGEN,POINT(74.94035 12.615349),UNITED MEDICAL CENTER  KOTEKANI ROAD  KASARAGOD  Kasaragod
150,G K CLINICAL LABORATORY,G K CLINICAL LABORATORY  MADHAVA PAI BUILDING   BADIADKA ROAD   KUMBALA  KASARAGOD,Kasaragod,ANTIGEN,POINT(75.072783 12.583776),G K CLINICAL LABORATORY  MADHAVA PAI BUILDING   BADIADKA ROAD   KUMBALA  KASARAGOD  Kasaragod
151,DDRC SRL Diagnostics Pvt Ltd,DDRC SRL Diagnostics Pvt Ltd  Chinnakkada  Kollam.,Kollam,ANTIGEN,POINT( 76.5862306 8.8880972 ),DDRC SRL Diagnostics Pvt Ltd  Chinnakkada  Kollam.
152,Travancore Medicity Medical College,Travancore Medicity Medical College  Kollam,Kollam,ANTIGEN,POINT(76.64496 8.875216),Travancore Medicity Medical College  Kollam  Kollam
153,Holy cross Hospital,Holy cross Hospital  Kottiyam,Kollam,ANTIGEN,POINT(76.86147 8.89842),Holy cross Hospital  Kottiyam  Kollam
154,Meditrina hospital laboratory,Meditrina hospital laboratory Ayathil  Kollam ,Kollam,ANTIGEN,POINT(76.600777 8.895683),Meditrina hospital laboratory Ayathil  Kollam   Kollam
155,Matha Medical Centre,Matha Medical Centre Mathilil Kollam,Kollam,ANTIGEN,POINT(76.53413 8.98664),Matha Medical Centre Mathilil Kollam  Kollam
156,DDRC SRL Diagnostics Pvt. Ltd. ,DDRC SRL Diagnostics Pvt. Ltd.   City Tower  Kottarakkara  Kollam,Kollam,ANTIGEN,POINT( 76.7776917 9.0056306 ),DDRC SRL Diagnostics Pvt. Ltd.   City Tower  Kottarakkara  Kollam
157,Dr Nair's Hospital,Dr Nair's Hospital  Kollam,Kollam,ANTIGEN,POINT(76.598888 8.894851),Dr Nair's Hospital  Kollam  Kollam
158,NS Memorial Institute of Medical Sciences,NS Memorial Institute of Medical Sciences  Palathara  Kollam,Kollam,ANTIGEN,POINT(76.597863 8.889812),NS Memorial Institute of Medical Sciences  Palathara  Kollam  Kollam
159,DDRC SRL Diagnostic Services Pvt Ltd,DDRC SRL Diagnostic Services Pvt Ltd  Sri sri building  Parippally  Kollam,Kollam,ANTIGEN,POINT( 76.7531306 8.8126194 ),DDRC SRL Diagnostic Services Pvt Ltd  Sri sri building  Parippally  Kollam
160,KIMS Kollam Multispecialty Hospital India Pvt. Ltd.,KIMS Kollam Multispecialty Hospital India Pvt. Ltd.,Kollam,ANTIGEN,POINT(76.766212 8.906271),KIMS Kollam Multispecialty Hospital India Pvt. Ltd.  Kollam
161,Padmavathy Medical Foundation,Padmavathy Medical Foundation Manakkara Sasthamcotta P.O. Kollam,Kollam,ANTIGEN,POINT(76.643791 8.868801),Padmavathy Medical Foundation Manakkara Sasthamcotta P.O. Kollam  Kollam
162,St Josephs Mission Hospital Anchal Kollam,St Josephs Mission Hospital Anchal Kollam,Kollam,ANTIGEN,POINT(76.9180392 8.9294212),St Josephs Mission Hospital Anchal Kollam  Kollam
163,UPASANA HOSPITAL,UPASANA HOSPITAL  Q S Road Kollam,Kollam,ANTIGEN,POINT(76.596861 8.888766),UPASANA HOSPITAL  Q S Road Kollam  Kollam
164,BIOVISION CLINICAL LAB,BIOVISION CLINICAL LAB  NEAR SBI  MC ROAD  VALAKOM  KOTTARAKKARA,Kollam,ANTIGEN,POINT(76.600777 8.895683),BIOVISION CLINICAL LAB  NEAR SBI  MC ROAD  VALAKOM  KOTTARAKKARA  Kollam
165,Quality Care Diagnostic Centre,Quality Care Diagnostic Centre  Town Plaza  Pulamon  Kottarakkara,Kollam,ANTIGEN,POINT(76.924767 9.018006),Quality Care Diagnostic Centre  Town Plaza  Pulamon  Kottarakkara  Kollam
166,VIJAYA HOSPITAL,VIJAYA HOSPITAL PULAMON P O KOTTARAKKARA,Kollam,ANTIGEN,POINT(76.610283 8.887522),VIJAYA HOSPITAL PULAMON P O KOTTARAKKARA  Kollam
167,Bishop benziger Hospital,Bishop benziger Hospital  Beach Road  Kollam,Kollam,ANTIGEN,POINT(76.5932034 8.8811141),Bishop benziger Hospital  Beach Road  Kollam  Kollam
168,Poyanil Hospital Punalur,Poyanil Hospital Punalur,Kollam,ANTIGEN,POINT(76.9098598 9.0201408),Poyanil Hospital Punalur  Kollam
169,Pazhaveedu Medical Care Specialty Hospital,Pazhaveedu Medical Care Specialty Hospital  Pulamon PO  Kottarakkara,Kollam,ANTIGEN,POINT(76.588207 8.900546),Pazhaveedu Medical Care Specialty Hospital  Pulamon PO  Kottarakkara  Kollam
170,DDRC SRL Diagnostics Private Limited,DDRC SRL Diagnostics Private Limited Gandhi Nagar Kottayam,Kollam,ANTIGEN,POINT( 76.5394556 9.6254361 ),DDRC SRL Diagnostics Private Limited Gandhi Nagar Kottayam
171,Azeezia Medical College Hospital,Azeezia Medical College Hospital  Meeyannoor,Kollam,ANTIGEN,POINT(76.737682 8.889542),Azeezia Medical College Hospital  Meeyannoor  Kollam
172,Bharath Hospital,Bharath Hospital  Kottayam,Kottayam,ANTIGEN,POINT(76.5195727 9.5894925),Bharath Hospital  Kottayam  Kottayam
173,St. Thomas Hospital,St. Thomas Hospital  Chethipuzha  Changanassery,Kottayam,ANTIGEN,POINT(76.5523465 9.4625088),St. Thomas Hospital  Chethipuzha  Changanassery  Kottayam
174,Little Lourdes Mission Hospital Kidangoor Kottayam,Little Lourdes Mission Hospital Kidangoor Kottayam,Kottayam,ANTIGEN,POINT( 76.6122194 9.6835889 ),Little Lourdes Mission Hospital Kidangoor Kottayam
175,HOLY GHOST MISSION HOSPITAL,HOLY GHOST MISSION HOSPITAL  KOTTAYAM,Kottayam,ANTIGEN,POINT(76.4997662 9.7572053),HOLY GHOST MISSION HOSPITAL  KOTTAYAM  Kottayam
176,Marian Medical Centre,Marian Medical Centre  Arunapuram P.O Pala,Kottayam,ANTIGEN,POINT(76.529395 9.593534),Marian Medical Centre  Arunapuram P.O Pala  Kottayam
177,MERCY HOSPITAL POTHY,MERCY HOSPITAL POTHY Thalayolaparambu,Kottayam,ANTIGEN,POINT(76.707593 9.617695),MERCY HOSPITAL POTHY Thalayolaparambu  Kottayam
178,Marsleeva Medicity Palai,Marsleeva Medicity Palai,Kottayam,ANTIGEN,POINT(76.64412 9.679821),Marsleeva Medicity Palai  Kottayam
179,SH Medical Centre ,SH Medical Centre  Nagampadom  Kottayam,Kottayam,ANTIGEN,POINT(76.529395 9.593534),SH Medical Centre  Nagampadom  Kottayam  Kottayam
180,Aravinda Hospitals,Aravinda Hospitals  Ponkunnam  Kottayam,Kottayam,ANTIGEN,POINT( 76.7644611 9.5577250 ),Aravinda Hospitals  Ponkunnam  Kottayam
181,Indo American Hospital,Indo American Hospital  Kottayam.,Kottayam,ANTIGEN,POINT(76.3925812 9.7216807),Indo American Hospital  Kottayam.  Kottayam
182,Mannam Memorial NSS Medical Mission Hospital,Mannam Memorial NSS Medical Mission Hospital  Karukachal  Kottayam,Kottayam,ANTIGEN,POINT( 76.6334444 9.4994306 ),Mannam Memorial NSS Medical Mission Hospital  Karukachal  Kottayam
183,KIMS BELLEROSE INSTITUTE OF MEDICAL SCIENCES,KIMS BELLEROSE INSTITUTE OF MEDICAL SCIENCES Thoothooty Junction  Kudamaloor P.O  Kottayam,Kottayam,ANTIGEN,POINT(76.529574 9.588253),KIMS BELLEROSE INSTITUTE OF MEDICAL SCIENCES Thoothooty Junction  Kudamaloor P.O  Kottayam  Kottayam
184,Carmel Medical Centre,Carmel Medical Centre  Kizhathadiyoor PO Pala  Kottayam,Kottayam,ANTIGEN,POINT(76.662176 9.706096),Carmel Medical Centre  Kizhathadiyoor PO Pala  Kottayam  Kottayam
185,IHM Hospital,IHM Hospital  Bharananganam  Kottayam,Kottayam,ANTIGEN,POINT(76.7192486 9.704762),IHM Hospital  Bharananganam  Kottayam  Kottayam
186,Velankanni Matha Private Hospitals Pvt Ltd,Velankanni Matha Private Hospitals Pvt Ltd  Thellakom  Kottayam,Kottayam,ANTIGEN,POINT(76.521813 9.592989),Velankanni Matha Private Hospitals Pvt Ltd  Thellakom  Kottayam  Kottayam
187,Indo American Hospital West Gate,Indo American Hospital West Gate  Vaikom Kottayam,Kottayam,ANTIGEN,POINT(76.398802 9.758329),Indo American Hospital West Gate  Vaikom Kottayam  Kottayam
188,Mary Queens Mission Hospital,Mary Queens Mission Hospital  Kanjirappally  Kottayam,Kottayam,ANTIGEN,POINT(76.8139820115885 9.55804385),Mary Queens Mission Hospital  Kanjirappally  Kottayam  Kottayam
189,M U M Hospital Monipally,M U M Hospital Monipally  Kottayam,Kottayam,ANTIGEN,POINT(76.563539 9.811305),M U M Hospital Monipally  Kottayam  Kottayam
190,St. Vincent Hospital,St. Vincent Hospital  Kuravilangadu,Kottayam,ANTIGEN,POINT(76.562982 9.751363),St. Vincent Hospital  Kuravilangadu  Kottayam
191,Caritas Hospital,Caritas Hospital Thellakom  Kottayam,Kottayam,ANTIGEN,POINT(76.549316 9.64525),Caritas Hospital Thellakom  Kottayam  Kottayam
192,Mitera Hospitals Pvt Ltd,Mitera Hospitals Pvt Ltd  Thellakom. P O  Kottayam,Kottayam,ANTIGEN,POINT(76.521813 9.592989),Mitera Hospitals Pvt Ltd  Thellakom. P O  Kottayam  Kottayam
193,PMC Hospital,PMC Hospital  Erattupetta  Kottayam,Kottayam,ANTIGEN,POINT(76.7821158572397 9.6856663),PMC Hospital  Erattupetta  Kottayam  Kottayam
194,Base Hospital,Base Hospital  Manarcadu  Kottayam,Kottayam,ANTIGEN,POINT(76.578054 9.590942),Base Hospital  Manarcadu  Kottayam  Kottayam
195,Paret Mar Ivanios Hospital,Paret Mar Ivanios Hospital  Puthuppally Kottayam,Kottayam,ANTIGEN,POINT(76.5666789 9.5531815),Paret Mar Ivanios Hospital  Puthuppally Kottayam  Kottayam
196,Mar Kavukatt Memorial Hospital,Mar Kavukatt Memorial Hospital Pravithanam Kottayam,Kottayam,ANTIGEN,POINT(76.703386 9.7473158),Mar Kavukatt Memorial Hospital Pravithanam Kottayam  Kottayam
197,Cherupushpam Trust Hospital,Cherupushpam Trust Hospital  Pala  Kottayam,Kottayam,ANTIGEN,POINT(76.564662 9.762057),Cherupushpam Trust Hospital  Pala  Kottayam  Kottayam
198,DSH Hospital,DSH Hospital  Kalatipady  Kottayam,Kottayam,ANTIGEN,POINT(76.549316 9.64525),DSH Hospital  Kalatipady  Kottayam  Kottayam
199,Assissi Hospital,Assissi Hospital  Mukkoottuthura  Erumeli  Kottayam,Kottayam,ANTIGEN,POINT(76.431201 9.821518),Assissi Hospital  Mukkoottuthura  Erumeli  Kottayam  Kottayam
200,Rani Hospital,Rani Hospital  Kanjirappally  Kottayam,Kottayam,ANTIGEN,POINT(76.8016530961981 9.55927465),Rani Hospital  Kanjirappally  Kottayam  Kottayam
201,Dianova Laboratories,Dianova Laboratories   Gandhi Nagar  Kottayam,Kottayam,ANTIGEN,POINT(76.77544 9.629778),Dianova Laboratories   Gandhi Nagar  Kottayam  Kottayam
202,Dharmagiri St.Joseph Hospital,Dharmagiri St.Joseph Hospital  Mukkam,Kottayam,ANTIGEN,POINT( 75.9858639 11.3309944 ),Dharmagiri St.Joseph Hospital  Mukkam
203,Alphonsa Eye Hospital,Alphonsa Eye Hospital  Pala,Kottayam,ANTIGEN,POINT(76.6765231 9.7088081),Alphonsa Eye Hospital  Pala  Kottayam
204,Kadampuzha Hospital,Kadampuzha Hospital  Kanjirappally,Kottayam,ANTIGEN,POINT(76.549316 9.64525),Kadampuzha Hospital  Kanjirappally  Kottayam
205,Udayagiri Multispecialty Hospital,Udayagiri Multispecialty Hospital  Perunna  Changanassery,Kottayam,ANTIGEN,POINT(76.545913 9.444283),Udayagiri Multispecialty Hospital  Perunna  Changanassery  Kottayam
206,Vaikom Sathyagraha Memorial hospital,Vaikom Sathyagraha Memorial hospital  Kottayam,Kottayam,ANTIGEN,POINT(76.3900684 9.7491342),Vaikom Sathyagraha Memorial hospital  Kottayam  Kottayam
207,NSS Medical Mission Hospital,NSS Medical Mission Hospital  Perunna  Changanacherry  Kottayam,Kottayam,ANTIGEN,POINT(76.543793 9.439091),NSS Medical Mission Hospital  Perunna  Changanacherry  Kottayam  Kottayam
208,Meitra Hospital,Meitra Hospital  Kozhikode,Kozhikode,ANTIGEN,POINT(75.7746971907723 11.3017425),Meitra Hospital  Kozhikode  Kozhikode
209,Baby memorial hospital,Baby memorial hospital  Kozhikode,Kozhikode,ANTIGEN,POINT(75.7920593073821 11.2600608),Baby memorial hospital  Kozhikode  Kozhikode
210,IQRAA,IQRAA  Kozhikode,Kozhikode,ANTIGEN,POINT(75.7982876 11.2863772),IQRAA  Kozhikode  Kozhikode
211,Malabar multispeciality centre,Malabar multispeciality centre Eranhipalam,Kozhikode,ANTIGEN,POINT(75.968945 11.141789),Malabar multispeciality centre Eranhipalam  Kozhikode
212,Nirmala Hospital,Nirmala Hospital  Calicut,Kozhikode,ANTIGEN,POINT(75.824588 11.291804),Nirmala Hospital  Calicut  Kozhikode
213,Starcare Hospital,Starcare Hospital  Kozhikode,Kozhikode,ANTIGEN,POINT(75.8094562527893 11.2690819),Starcare Hospital  Kozhikode  Kozhikode
214,Saroj Diagnostic Laboratory,Saroj Diagnostic Laboratory  Malaparamba  Kozhikode,Kozhikode,ANTIGEN,POINT( 75.8006472 11.2882000 ),Saroj Diagnostic Laboratory  Malaparamba  Kozhikode
215,ASTER MIMS Kozhikode,ASTER MIMS Kozhikode,Kozhikode,ANTIGEN,POINT(75.805073 11.278596),ASTER MIMS Kozhikode  Kozhikode
216,IQRAA Community hospital thottilpalam,IQRAA Community hospital thottilpalam  Kozhikode,Kozhikode,ANTIGEN,POINT( 75.7721111 11.6730417 ),IQRAA Community hospital thottilpalam  Kozhikode
217,AZA DIAGNOSTIC CENTRE,AZA DIAGNOSTIC CENTRE,Kozhikode,ANTIGEN,POINT( 75.7889778 11.2555028 ),AZA DIAGNOSTIC CENTRE
218,MicroHealth Laboratories,MicroHealth Laboratories  Arayidathupalam  Kozhikode,Kozhikode,ANTIGEN,POINT(75.805073 11.278596),MicroHealth Laboratories  Arayidathupalam  Kozhikode  Kozhikode
219,Santhi Hospital,Santhi Hospital  Omassery  Kozhikode,Kozhikode,ANTIGEN,POINT(75.9646573 11.3626369),Santhi Hospital  Omassery  Kozhikode  Kozhikode
220,Chest Hospital,Chest Hospital  Pavamani Road  Kozhikode,Kozhikode,ANTIGEN,POINT(75.784093 11.25519),Chest Hospital  Pavamani Road  Kozhikode  Kozhikode
221,KMCT Medical College Hospital,KMCT Medical College Hospital Manassery(P Mukkam(Via,Kozhikode,ANTIGEN,POINT(75.97062 11.326108),KMCT Medical College Hospital Manassery(P Mukkam(Via  Kozhikode
222,Asten Specialty Orthopaedic Hospital,Asten Specialty Orthopaedic Hospital  Pantheerankavu  Kozhikode,Kozhikode,ANTIGEN,POINT( 75.8514917 11.2317639 ),Asten Specialty Orthopaedic Hospital  Pantheerankavu  Kozhikode
223,Malabar Medical College & Research Centre,Malabar Medical College & Research Centre  Kozhikode,Kozhikode,ANTIGEN,POINT(75.7762529 11.4335599),Malabar Medical College & Research Centre  Kozhikode  Kozhikode
224,DDRC SRL Diagnostics Pvt Ltd,DDRC SRL Diagnostics Pvt Ltd  Sana Tower  Devagiri College Road  Medical College PO. Calict,Kozhikode,ANTIGEN,POINT( 75.8371806 11.2698917 ),DDRC SRL Diagnostics Pvt Ltd  Sana Tower  Devagiri College Road  Medical College PO. Calict
225,Koduvally Institute of Medical Science,Koduvally Institute of Medical Science  Pvt  Ltd,Kozhikode,ANTIGEN,POINT(76.005711 11.801847),Koduvally Institute of Medical Science  Pvt  Ltd  Kozhikode
226,EMS Co-op hospital,EMS Co-op hospital  Mukkam,Kozhikode,ANTIGEN,POINT(75.991861 11.325945),EMS Co-op hospital  Mukkam  Kozhikode
227,Aliya Diagnostic and Research Centre,Aliya Diagnostic and Research Centre Medical College  Kozhikode,Kozhikode,ANTIGEN,POINT(75.849134 11.554621),Aliya Diagnostic and Research Centre Medical College  Kozhikode  Kozhikode
228,Asha Hospital,Asha Hospital  Vadakara  Kozhikode,Kozhikode,ANTIGEN,POINT(75.5898404 11.6046063),Asha Hospital  Vadakara  Kozhikode  Kozhikode
229,ASWINI DIAGNOSTIC SERVICES,ASWINI DIAGNOSTIC SERVICES  Chinthavalappu KOZHIKODE,Kozhikode,ANTIGEN,POINT( 75.7880278 11.2517389 ),ASWINI DIAGNOSTIC SERVICES  Chinthavalappu KOZHIKODE
230,Cradle Calicut ,Cradle Calicut  Maternity Care Pvt Limited  Calicut,Kozhikode,ANTIGEN,POINT(75.843912 11.553887),Cradle Calicut  Maternity Care Pvt Limited  Calicut  Kozhikode
231,MVR Cancer Centre & Research Institute,MVR Cancer Centre & Research Institute Calicut,Kozhikode,ANTIGEN,POINT(75.9468168 11.2945142),MVR Cancer Centre & Research Institute Calicut  Kozhikode
232,RED CRESCENT HOSPITAL,RED CRESCENT HOSPITAL  Feroke,Kozhikode,ANTIGEN,POINT(75.84823 11.182548),RED CRESCENT HOSPITAL  Feroke  Kozhikode
233,R Cell Diagnostics,R Cell Diagnostics  Arayidathupalam  Kozhikode,Kozhikode,ANTIGEN,POINT(75.805073 11.278596),R Cell Diagnostics  Arayidathupalam  Kozhikode  Kozhikode
234,Metromed International Cardiac Centre,Metromed International Cardiac Centre  Thondayad Bypass Road  G A College P O Kozhikode  Kerala,Kozhikode,ANTIGEN,POINT(75.836078 11.245356),Metromed International Cardiac Centre  Thondayad Bypass Road  G A College P O Kozhikode  Kerala  Kozhikode
235,KARUNYA HEALTH CARE,KARUNYA HEALTH CARE  Jafar Khan Colony road  Calicut -6,Kozhikode,ANTIGEN,POINT(75.834387 11.479802),KARUNYA HEALTH CARE  Jafar Khan Colony road  Calicut -6  Kozhikode
236,Ceeyam Hospital,Ceeyam Hospital  V O Road  Vatakara,Kozhikode,ANTIGEN,POINT(75.805073 11.278596),Ceeyam Hospital  V O Road  Vatakara  Kozhikode
237,Care Reference Laboratories.,Care Reference Laboratories.  Velliparamba Calicut,Kozhikode,ANTIGEN,POINT(75.725133 11.393558),Care Reference Laboratories.  Velliparamba Calicut  Kozhikode
238,Lisa Hospital,Lisa Hospital Thiruvampadi  Kozhikode,Kozhikode,ANTIGEN,POINT(76.012716 11.361585),Lisa Hospital Thiruvampadi  Kozhikode  Kozhikode
239,EMS Memorial Co-operative Hospital ,EMS Memorial Co-operative Hospital  Perambra  Kozhikode,Kozhikode,ANTIGEN,POINT(75.694225 11.444566),EMS Memorial Co-operative Hospital  Perambra  Kozhikode  Kozhikode
240,IQRAA Community Clinic,IQRAA Community Clinic  Kallai  Calicut,Kozhikode,ANTIGEN,POINT(75.834387 11.479802),IQRAA Community Clinic  Kallai  Calicut  Kozhikode
241,Micro Health Laboratories,Micro Health Laboratories  MP Tower  Next to Lavanya Plaza  Near Taluk Hospital  Thamarassery  Kozhikode,Kozhikode,ANTIGEN,POINT( 75.7946833 11.2583139 ),Micro Health Laboratories  MP Tower  Next to Lavanya Plaza  Near Taluk Hospital  Thamarassery  Kozhikode
242,Fathima Hospital,Fathima Hospital Bank Road Calicut,Kozhikode,ANTIGEN,POINT(75.834387 11.479802),Fathima Hospital Bank Road Calicut  Kozhikode
243,R.M. HOSPITAL,R.M. HOSPITAL BEYPORE CALICUT,Kozhikode,ANTIGEN,POINT(75.80703 11.176742),R.M. HOSPITAL BEYPORE CALICUT  Kozhikode
244,Doctors Lab,Doctors Lab  Payyoli  Kozhikode,Kozhikode,ANTIGEN,POINT(75.6212299 11.5159889),Doctors Lab  Payyoli  Kozhikode  Kozhikode
245,Amana Hospital,Amana Hospital  Adukath PO  Kozhikode,Kozhikode,ANTIGEN,POINT(75.759923 11.651943),Amana Hospital  Adukath PO  Kozhikode  Kozhikode
246,Vadakara Co operative Hospital,Vadakara Co operative Hospital  Kozhikode,Kozhikode,ANTIGEN,POINT(75.595315 11.589687),Vadakara Co operative Hospital  Kozhikode  Kozhikode
247,Amal Hospitals and Research Center,Amal Hospitals and Research Center  Perumalpuram  Thikoti  Kozhikode,Kozhikode,ANTIGEN,POINT(75.62501 11.506824),Amal Hospitals and Research Center  Perumalpuram  Thikoti  Kozhikode  Kozhikode
248,Dr.Scan Diagnostic Centre,Dr.Scan Diagnostic Centre  A Unit of Sreekumar&Abilash Healthcare Pvt Ltd Near Arayedathupalam Mavoor Road Kozhikode,Kozhikode,ANTIGEN,POINT(72.833448 19.055567),Dr.Scan Diagnostic Centre  A Unit of Sreekumar&Abilash Healthcare Pvt Ltd Near Arayedathupalam Mavoor Road Kozhikode  Kozhikode
249,DOCTORS LAB,DOCTORS LAB Near CHC Meladi  Perumal Puram  Thikkoti PO KOZHIKODE,Kozhikode,ANTIGEN,POINT( 75.7872833 11.2596528 ),DOCTORS LAB Near CHC Meladi  Perumal Puram  Thikkoti PO KOZHIKODE
250,Micro Diagnostics,Micro Diagnostics  Opp: City Medicals  Near Old Bus Stand  Kuttiadi  Kozhikode,Kozhikode,ANTIGEN,POINT(75.620442 11.515529),Micro Diagnostics  Opp: City Medicals  Near Old Bus Stand  Kuttiadi  Kozhikode  Kozhikode
251,DOCTORS SPECIALTY LAB,DOCTORS SPECIALTY LAB Near Govt Taluk Hospital  Ballusery Mukku  Vattoli Bazar,Kozhikode,ANTIGEN,POINT(75.828185 11.312065),DOCTORS SPECIALTY LAB Near Govt Taluk Hospital  Ballusery Mukku  Vattoli Bazar  Kozhikode
252,TMH Hospital,TMH Hospital  Kottakadavu  Kadalundi  Kozhikode,Kozhikode,ANTIGEN,POINT(75.8375018 11.1387853),TMH Hospital  Kottakadavu  Kadalundi  Kozhikode  Kozhikode
253,MAK Hospitals Pvt Ltd,MAK Hospitals Pvt Ltd  Cheruvannur  Feroke- Post  Kozhikode,Kozhikode,ANTIGEN,POINT(75.805073 11.278596),MAK Hospitals Pvt Ltd  Cheruvannur  Feroke- Post  Kozhikode  Kozhikode
